IS_ANNOTATION,LinguisticExamples
SOURCE_PATH_GOAL,We aren't going anywhere.
SOURCE_PATH_GOAL,We are going nowhere with this.
SOURCE_PATH_GOAL,We've reached the end.
SOURCE_PATH_GOAL,We are seeing the light at the end of the tunnel.
SOURCE_PATH_GOAL,We only have a short way to go.
SOURCE_PATH_GOAL,The end is in sight.
SOURCE_PATH_GOAL,The end is a long ways off.
SOURCE_PATH_GOAL,How close are these two numbers?
SOURCE_PATH_GOAL,"37 is far away from 189,712."
SOURCE_PATH_GOAL,4.9 is near 5.
SOURCE_PATH_GOAL,The result is around 40.
SOURCE_PATH_GOAL,"Count up to 20, without skipping any numbers."
SOURCE_PATH_GOAL,Count backward from 20.
SOURCE_PATH_GOAL,"Count to 100, starting at 20."
SOURCE_PATH_GOAL,Name all the numbers from 2 to 10.
SOURCE_PATH_GOAL,Zero lies between one and minus one.
SOURCE_PATH_GOAL,to get into the story.
SOURCE_PATH_GOAL,I was astounded at the way you can walk in—almost walk into a book and just live in it.
SOURCE_PATH_GOAL,going to a place where you had never been yet but might be curious about or had heard something about.
SOURCE_PATH_GOAL,"The writer did a wonderful job of transporting me into the worlds of half a dozen different people, totally different from mine, outside my experience, but somehow I made them all real."
SOURCE_PATH_GOAL,you’re following the character
SOURCE_PATH_GOAL,So you do feel like you’ve been on the trip with them actually.
SOURCE_PATH_GOAL,Devastation from the hurricane thrust the nation into recession.
SOURCE_PATH_GOAL,Congress' refusal to compromise is moving the country toward economic ruin.
SOURCE_PATH_GOAL,It is smooth sailing from here on in in the application process.
SOURCE_PATH_GOAL,It's all downhill for the rest of the course.
SOURCE_PATH_GOAL,He exercised to the point of exhaustion.
SOURCE_PATH_GOAL,She squeezed her way to thinner thighs.
SOURCE_PATH_GOAL,He drank himself out of the promotion.
SOURCE_PATH_GOAL,He went on with what he was doing.
SOURCE_PATH_GOAL,She went back to sleep.
SOURCE_PATH_GOAL,She successfully navigated her way through the contract negotiations.
SOURCE_PATH_GOAL,Regulations keep me from moving ahead with this housing project.
SOURCE_PATH_GOAL,Sudden illness stopped his progress.
SOURCE_PATH_GOAL,He's really gotten hung up at that step in the process.
SOURCE_PATH_GOAL,He is so caught up in his work he can't do anything else.
SOURCE_PATH_GOAL,He was held up in the meeting.
SOURCE_PATH_GOAL,Our President will chart a path to prosperity.
SOURCE_PATH_GOAL,We will navigate the choppy waters of recession into smooth fiscal sailing.
SOURCE_PATH_GOAL,Pakistan's economy has ability to navigate through choppy waters.
SOURCE_PATH_GOAL,Crime is stalking the youth of our major cities.
SOURCE_PATH_GOAL,"gang crime ravages inner cities, destroys families, and causes whole neighborhoods to hunker down in fear"
SOURCE_PATH_GOAL,Crime is a beast ravaging the city.
SOURCE_PATH_GOAL,"His innocence had sent an intricate net of feelers snaking to- ward the world, but when would they be snapped."
SOURCE_PATH_GOAL,Upcoming events.
SOURCE_PATH_GOAL,What events are up ahead?
SOURCE_PATH_GOAL,All upcoming events are listed in the paper.
SOURCE_PATH_GOAL,I’m afraid what’s up ahead of us?
SOURCE_PATH_GOAL,What’s coming up this week?
SOURCE_PATH_GOAL,What’s up?
SOURCE_PATH_GOAL,We’re looking ahead to the future.
SOURCE_PATH_GOAL,He has a great future in front of him.
SPLITTING,Americans are divided as to whether a third major party is needed in U.S. politics today
SPLITTING,What separates the men from the boys?
SPLITTING,"The story is not primarily about salvation, but about severe judgement, and it ends in tragedy, in hopes dashed most cruelly to smithereens."
SPLITTING,"As the credibility of the DLV lay in shreds, the greater consequences for world sport were being considered by, among others, Norbert Laurens, the lawyer for the DLV."
SPLITTING,Dartford's hopes also crumbled rapidly when Exeter scored three times in an eight-minute spell in the second half.
SPLITTING,Mrs Margaret Thatcher has struck three notes since the Communist world began to disintegrate.
SPLITTING,"Sometimes truth may be suppressed for a long time but while it is imprisoned it gathers to itself more and more power so that on the day that it is finally released it explodes, blowing everything asunder."
SPLITTING,"She felt as though she was dying, as though her heart was being ripped piece by piece into shreds, but she had to go on and finish the programme."
SPLITTING,"My mother, I'm afraid, went quite to pieces after his death."
SPLITTING,"The hallways are filled with the sounds of middle school students, primarily eighth graders, dissecting the second presidential debate from the evening before."
SUBSTANCE,You can’t get a single joke out of him.
SUBSTANCE,He’s full of laughs.
SUBSTANCE,She let out a big laugh.
SUBSTANCE,She’s brimming with vim and vigor.
SUBSTANCE,She’s overflowing with vitality.
SUBSTANCE,He’s devoid of energy.
SUBSTANCE,I don’t have any energy left at the end of the day.
SUBSTANCE,I’m drained.
SUBSTANCE,That took a lot out of me.
SUBSTANCE,I couldn’t do much sprinting until the end.
SUBSTANCE,mixture of anger and emotion
SUBSTANCE,mingling of anger and emotion
SUBSTANCE,combination of anger and emotion
SUBSTANCE,Anger be pure
SUBSTANCE,Emotion is mixed with anger
SUBSTANCE,Emotion is mingled with anger
SUBSTANCE,trace of anger
SUBSTANCE,combined anger
SUBSTANCE,it diffuses his anger
SUBSTANCE,pure joy
SUBSTANCE,unalloyed joy
SUBSTANCE,mixed joy
SUBSTANCE,mixture of emotion and joy
SUBSTANCE,emotion combine with joy
SUBSTANCE,combine emotion with joy
SUBSTANCE,emotion mingle with y
SUBSTANCE,emotion and x be mingled
SUBSTANCE,mingled suffuse
SUBSTANCE,tinge of suffuse
SUBSTANCE,amalgam of emotion and suffuse
SUBSTANCE,combination of emotion and suffuse
SUBSTANCE,mixture of emotion and suffuse
SUBSTANCE,mixed emotions and suffuse
SUBSTANCE,emotions are mingled with suffuse
SUBSTANCE,emotions are mixed with suffuse
SUBSTANCE,emotions are tinged with suffuse
SUBSTANCE,event be(come) tinged with suffuse
SUBSTANCE,suffuse be mixed with emotion
SUBSTANCE,suffuse be tinged with emotion
SUBSTANCE,emotion and suffuse mix
SUBSTANCE,emotion tinge suffuse
SUBSTANCE,sadness suffuse event
SUBSTANCE,pure disgust
SUBSTANCE,combination of disgust and emotion
SUBSTANCE,mixture of disgust and emotion
SUBSTANCE,tinge of disgust
SUBSTANCE,trace of disgust
SUBSTANCE,disgust mixes with emotion
SUBSTANCE,disgust is mingled with emotion
SUBSTANCE,He's filled with jealousy.
SUBSTANCE,She's overflowing with love.
SUBSTANCE,He has a lot of smarts.
SUBSTANCE,He's devoid of common sense.
SUBSTANCE,The flow of time
SUBSTANCE,"Like sands through the hourglass, so are the days of our lives."
SUBSTANCE,The money is all dried up.
SUBSTANCE,Liquid assets.
SUBSTANCE,Currency
SUBSTANCE,He's just sponging off of you.
SUPPORT,Our conservation program needs your support.
SUPPORT,I've really been leaning on my friends the past few months.
SUPPORT,The poor in our country need a boost up.
SUPPORT,"In times of need, the impoverished should be able to lean on our government for support."
SUPPORT,We need welfare as a safety net.
SUPPORT,Our work in the African continent [. . .] is supported by Tear Fund
SUPPORT,Our conservation program needs your support.
SUPPORT,I've really been leaning on my friends the past few months.
SUPPORT,"Aug 25, 2010 – And so, two of the main pillars of our democracy—a free press and the courts—will be assailed at the same time."
VERTICALITY,right-wing party
VERTICALITY,left-wing party
VERTICALITY,No known spoken language uses the lateral (left–right) axis for time.
VERTICALITY,the right answer
VERTICALITY,my right-hand man
VERTICALITY,out in left field
VERTICALITY,two left feet
VERTICALITY,The number of books printed each year is going up.
VERTICALITY,My income rose last year.
VERTICALITY,The number of errors made is incredibly low.
VERTICALITY,He is underage.
VERTICALITY,The number of books printed each year keeps going up.
VERTICALITY,His draft number is high.
VERTICALITY,My income rose last year.
VERTICALITY,The amount of artistic activity in this state has gone down in the past year.
VERTICALITY,The number of errors he made is incredibly low.
VERTICALITY,His income fell last year.
VERTICALITY,He is underage.
VERTICALITY,"If you’re too hot, turn the heat down."
VERTICALITY,An IQ of over 150.
VERTICALITY,"Speak up, please."
VERTICALITY,"Keep your voice down, please."
VERTICALITY,Prices are high.
VERTICALITY,Europeans are now complaining of high American interest rates.
VERTICALITY,Home ownership involves higher indebtedness than renting a house does.
VERTICALITY,The number of people living in poverty went up.
VERTICALITY,Can you please decrease the number of assignments?
VERTICALITY,Her temperature is going down.
VERTICALITY,The price of stocks rose.
VERTICALITY,My to-do list is piling up!
VERTICALITY,level of anger
VERTICALITY,anger rise (in PERS)
VERTICALITY,anger drop
VERTICALITY,anger arise/come arising from X
VERTICALITY,rising/high anger
VERTICALITY,level/height of anger
VERTICALITY,she gets up his anger
VERTICALITY,fear be high among X
VERTICALITY,fear peak
VERTICALITY,fear be ascendant
VERTICALITY,fear rise
VERTICALITY,X heighten fear
VERTICALITY,The number of poor people is higher than the number of rich ones.
VERTICALITY,Joe is above Bill in intelligence.
VERTICALITY,He thinks he is above us.
VERTICALITY,He has an edge over us.
VERTICALITY,We’re not at his level.
VERTICALITY,He’s up there with the best of them.
VERTICALITY,The number of poor people is higher than the number of rich ones.
VERTICALITY,Joe is above Bill in intelligence.
VERTICALITY,He thinks he is above us.
VERTICALITY,He has an edge over us.
VERTICALITY,We’re not at his level.
VERTICALITY,He’s up there with the best of them.
VERTICALITY,She has high standards.
VERTICALITY,He does high-quality work.
VERTICALITY,"We hit a peak last year, but it’s been downhill ever since."
VERTICALITY,Things are looking up.
VERTICALITY,Things are at an all-time low.
VERTICALITY,High-quality work.
VERTICALITY,My cake will never be up there with hers.
VERTICALITY,His work has really been slipping.
VERTICALITY,His work has really been sliding.
VERTICALITY,His work has really been slumping.
VERTICALITY,Living up to high expectations
VERTICALITY,"For the wise the path of life leads upwards, in order to avoid Sheol below."
VERTICALITY,he ranks high.
VERTICALITY,Spinach ranks higher than lettuce in greeness.
VERTICALITY,Eddie Murphy ranks above Bob Hope in sense of humor.
VERTICALITY,he ranks very low.
VERTICALITY,He’s at the bottom of the list.
VERTICALITY,She’ll rise to the top.
VERTICALITY,He has little upward mobility.
VERTICALITY,He’s at the bottom of the social hierarchy.
VERTICALITY,He has a lofty position.
VERTICALITY,She’ll rise to the top.
VERTICALITY,He’s at the peak of his career.
VERTICALITY,He’s climbing the ladder.
VERTICALITY,He has little upward mobility.
VERTICALITY,She fell in status.
VERTICALITY,Climbing the academic ladder.
VERTICALITY,to fall from grace
VERTICALITY,He ranks above me.
VERTICALITY,They are lower class.
VERTICALITY,Climbing the ladder in the company.
VERTICALITY,Be nice to the people you meet on your way up. . .
VERTICALITY,He’s the top of the heap.
VERTICALITY,He's gone over my head to the top supervisor.
VERTICALITY,In that community there is little opportunity for upward mobility.
VERTICALITY,He is low on the totem pole.
VERTICALITY,I have control over her.
VERTICALITY,His power is on the decline.
VERTICALITY,I have control over him.
VERTICALITY,He is under my power.
VERTICALITY,I’m on top of the situation.
VERTICALITY,"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany..."
VERTICALITY,Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.
VERTICALITY,I have it all under control.
VERTICALITY,He has a dominating/submissive personality.
VERTICALITY,He’s in superior position.
VERTICALITY,He’s at the height of his power.
VERTICALITY,He’s in the high command.
VERTICALITY,He’s in the upper echelon.
VERTICALITY,His power rose.
VERTICALITY,He ranks above me in strength.
VERTICALITY,He fell from power.
VERTICALITY,He is my social inferior.
VERTICALITY,He is low man on the totem pole.
VERTICALITY,I’m on top of the situation.
VERTICALITY,Don’t worry! I’m on top of the situation.
VERTICALITY,Today there are very few submissive women.
VERTICALITY,Report to your superiors for duty.
VERTICALITY,He's the low man on the totem pole.
VERTICALITY,Napoleon's skill at the siege of Toulon while only an artillery captain under General Jacques Dugommier was to start Napoleon on the path of greatness; a rise to power that was to be incredibly rapid.
VERTICALITY,Relax. We've got everything under control.
VERTICALITY,The pupils submitted themselves to discipline.
VERTICALITY,She did it under the supervision of a a senior teacher.
VERTICALITY,Who's the underdog?
VERTICALITY,He suffers from an inferiority complex.
VERTICALITY,I belong to the subordinate staff.
VERTICALITY,A major is below a colonel.
VERTICALITY,The romans subjected most of Europe to their rule.
VERTICALITY,They subdued their enemies to their sway.
VERTICALITY,He spoke to her in a condescending tone.
VERTICALITY,He even stooped to lying.
VERTICALITY,That boosted my spirits.
VERTICALITY,He is really down these days.
VERTICALITY,I’m depressed.
VERTICALITY,My spirit rose.
VERTICALITY,You’re in high spirits.
VERTICALITY,Thinking about her always gives me a lift.
VERTICALITY,I'm soaring with joy.
VERTICALITY,I’m feeling down.
VERTICALITY,He’s really low these days.
VERTICALITY,I fell into a depression.
VERTICALITY,My spirit sank.
VERTICALITY,His spirits fell.
VERTICALITY,Cheer up!
VERTICALITY,I’m feeling up today.
VERTICALITY,He’s really low these days.
VERTICALITY,We had to cheer him up.
VERTICALITY,Lighten up!
VERTICALITY,She lit up.
VERTICALITY,We had to cheer him up.
VERTICALITY,He will be elated with joy
VERTICALITY,joy be lifted
VERTICALITY,He brought me down with his remarks
VERTICALITY,sinking feeling of sadness
VERTICALITY,I'm uplifted.
VERTICALITY,He was overjoyed.
VERTICALITY,I was flying high.
VERTICALITY,She was on cloud nine.
VERTICALITY,I'm six feet off the ground.
VERTICALITY,We were in the clouds.
VERTICALITY,I was just soaring with happiness.
VERTICALITY,"After the exam, I was walking on air for days."
VERTICALITY,They were riding high.
VERTICALITY,I wasfloating.
VERTICALITY,deep sadness
VERTICALITY,sadness be deep
VERTICALITY,event deepen sadness
VERTICALITY,sinking feeling of sadness
VERTICALITY,Are we downhearted?
VERTICALITY,Why is he looking so dejected?
VERTICALITY,"In economic development, the equivalent of having a level playing field is equality of access to basic services."
VERTICALITY,The servers are back up after having been down for days.
VERTICALITY,The government was toppled.
VERTICALITY,The government fell.
VERTICALITY,He’s at the peak of health.
VERTICALITY,Lazarus rose from the dead.
VERTICALITY,He’s in top shape.
VERTICALITY,"As to his health, he’s way up there."
VERTICALITY,He fell ill.
VERTICALITY,He’s sinking fast.
VERTICALITY,He came down with the flu.
VERTICALITY,His health is declining.
VERTICALITY,He dropped dead.
VERTICALITY,He fell ill.
VERTICALITY,That was a demeaning comment.
VERTICALITY,I won’t do that -- it’s degrading!
VERTICALITY,He debased himself.
VERTICALITY,... standing on the precipice of distress.
VERTICALITY,she found not only low sexual desire but low distress about it.
VERTICALITY,Attack Svetlana was in deep distress before the bombs exploded.
VERTICALITY,"The tears fall constantly, but, if she was mad with grief back then, she appears to have pulled back a little from the brink."
VERTICALITY,"Today, Bousignac, ... , feels like the whole world is again collapsing around her. ‘I don’t know if I will ever overcome this. The pain is never-ending …,’ adistressed Bousignac said."
VERTICALITY,Get up.
VERTICALITY,Wake up.
VERTICALITY,I’m up already.
VERTICALITY,He rises early in the morning.
VERTICALITY,He fell asleep.
VERTICALITY,He dropped off to sleep.
VERTICALITY,He’s under hypnoses.
VERTICALITY,He sank into a coma.
VERTICALITY,Wake up.
VERTICALITY,He fell into a coma.
VERTICALITY,"The discussion fell to the emotional level, but I raised it back up to the rational plane."
VERTICALITY,He couldn’t rise above his emotions.
VERTICALITY,high vs. low brow
VERTICALITY,We put our feelings aside and had a high-level intellectual discussion of the matter.
VERTICALITY,The discussion fell to an emotional level.
VERTICALITY,He is high-minded.
VERTICALITY,She has high standards.
VERTICALITY,She is upright.
VERTICALITY,She is an upstanding citizen.
VERTICALITY,Be straight with me.
VERTICALITY,He's a crooked businessman.
VERTICALITY,God-fearing men must keep strictly to the straight and narrow.
VERTICALITY,That was a low trick.
VERTICALITY,Don’t be underhanded.
VERTICALITY,I wouldn’t stoop to that.
VERTICALITY,That would be beneath me.
VERTICALITY,He's a snake in the grass.
VERTICALITY,That was a low-down thing to do.
VERTICALITY,"Upright, on the up and up, on a high moral plain, above board, high-minded, upstanding citizen, underhanded/low trick."
VERTICALITY,That would be beneath me.
VERTICALITY,He is a person of very high moral standards.
VERTICALITY,That’s up in the air.
VERTICALITY,The matter is settled.
VERTICALITY,I’d like to raise some questions about that.
VERTICALITY,That settles the question.
VERTICALITY,It’s still up for grabs.
VERTICALITY,Let’s bring it up for discussion.
VERTICALITY,There’s a deeper issue here.
VERTICALITY,That’s a profound problem.
VERTICALITY,Let’s ignore all the details on the surface.
VERTICALITY,There’s a deeper issue here.
VERTICALITY,… a deep thinker.
VERTICALITY,He had a probing mind.
VERTICALITY,He’s really high.
VERTICALITY,She’s coming down.
VERTICALITY,His best jokes all fell flat.
VERTICALITY,The scheme fell through.
VERTICALITY,If you work too hard you may collapse.
VERTICALITY,He had a nervous breakdown.
VERTICALITY,She broke down when she heard of his death.
VERTICALITY,Eve tempted Adam and he fell.
VERTICALITY,Earlier their used to be fallen women.
VERTICALITY,The government is a sinking ship.
VERTICALITY,The government has fallen.
VERTICALITY,She is a falling star.
VERTICALITY,What caused the decline and fall of the Roman Empire?
VERTICALITY,Your work falls short of my expectations.
VERTICALITY,a high-pitched voice
VERTICALITY,He dropped his voice.
VERTICALITY,She screamed at the top of her voice.
VERTICALITY,He raised his voice.
VERTICALITY,"Apparently, I’m not the only parent who’s concerned about high stakes testing."
VERTICALITY,"Debt, debt, debt; we're drowning in it. This morning, the Office for National Statistics published the latest estimates of public sector borrowing. Though borrowing is falling faster than anticipated, thanks to the fact that spending cuts are finally beginning to kick in, the national debt has risen to 64.2 per cent of GDP. More significantly, we now owe more than £1 trillion, or around £16,000 for every person in the country."
VERTICALITY,The upwardly mobile are moving into nicer neighborhoods.
VERTICALITY,Moving up the social ladder: The bottom rung vs the top rung
VERTICALITY,His strength declined as he aged.
VERTICALITY,He is under my control.
VERTICALITY,He fell from power.
VERTICALITY,His power is on the decline.
