sentence,image_schema,annotation
…wenn das Unbehagen oder die Krisenstimmung so weit angestiegen sind…,VERTICALITY,
…steigende soziale Probleme…,VERTICALITY,
...deren Marktanteil… auf zehn Prozent gefallen war…,VERTICALITY,
Er will die Einkommenssteuer senken…,VERTICALITY,
…der tatsächliche Wert…erheblich gesunken.,VERTICALITY,
…absackende Grundstückspreise und fallende Mieteinnahmen…,VERTICALITY,
…mit den Löhnen herunterzugehen.,VERTICALITY,
…mit den Löhnen herunterzugehen.,VERTICALITY,
Die Netto-Umsatzrendite ist…gesunken. Die Gewinne liegen bisher ein Drittel niedriger als im Vorjahr.,VERTICALITY,
…fielen die Bestellungen…,VERTICALITY,
…angesichts dramatisch gefallener Rohstoffpreise…,VERTICALITY,
Die Warnung vor sinkenden Löhnen…,VERTICALITY,
Her temperature is going down.,VERTICALITY,
The price of stocks rose.,VERTICALITY,
My to-do list is piling up!,VERTICALITY,
level of anger,VERTICALITY,
anger rise (in PERS),VERTICALITY,
anger drop,VERTICALITY,
anger arise/come arising from X,VERTICALITY,
rising/high anger,VERTICALITY,
level/height of anger,VERTICALITY,
she gets up his anger,VERTICALITY,
fear be high among X,VERTICALITY,
fear peak,VERTICALITY,
fear be ascendant,VERTICALITY,
fear rise,VERTICALITY,
X heighten fear,VERTICALITY,
The number of poor people is higher than the number of rich ones.,VERTICALITY,
Joe is above Bill in intelligence.,VERTICALITY,
He thinks he is above us.,VERTICALITY,
He has an edge over us.,VERTICALITY,
We’re not at his level.,VERTICALITY,
He’s up there with the best of them.,VERTICALITY,
The number of poor people is higher than the number of rich ones.,VERTICALITY,
Joe is above Bill in intelligence.,VERTICALITY,
He thinks he is above us.,VERTICALITY,
He has an edge over us.,VERTICALITY,
We’re not at his level.,VERTICALITY,
He’s up there with the best of them.,VERTICALITY,
She has high standards.,VERTICALITY,
He does high-quality work.,VERTICALITY,
"We hit a peak last year, but it’s been downhill ever since.",VERTICALITY,
Things are looking up.,VERTICALITY,
Things are at an all-time low.,VERTICALITY,
High-quality work.,VERTICALITY,
My cake will never be up there with hers.,VERTICALITY,
His work has really been slipping.,VERTICALITY,
His work has really been sliding.,VERTICALITY,
His work has really been slumping.,VERTICALITY,
Living up to high expectations,VERTICALITY,
…jede Phase des menschlichen Seins mit all ihren Höhen und Tiefen…,VERTICALITY,
…wenn sie  eine hervorragende sprachliche und theoretische Begabung besitzen…,VERTICALITY,
…Spitzenarbeit leistet…,VERTICALITY,
…Rolph Naders hohe Meinung von der Anwaltsgilde.,VERTICALITY,
…höherwertige Produkte…,VERTICALITY,
Und das gelingt ihm denn auch hervorragend.,VERTICALITY,
…Vergleich „höherwertiger“ mit „minderwertigen Rassen“…,VERTICALITY,
…der überragende Dortmunder Profi…,VERTICALITY,
…dass die Leistungen nicht so weit von der Spitze weg sind.,VERTICALITY,
"damit die letzten begännen, wo die Vorgänger geendet hätten, und wir alle zusammen viel weiter gehen würden, als jeder für sich hätte tun können.",VERTICALITY,
Es geht also aufwärts.,VERTICALITY,
…den ersehnten Aufschwung…,VERTICALITY,
…einem erneuten Wirtschaftsaufschwung…,VERTICALITY,
…daß es längere Zeit nicht aufwärtsgeht.,VERTICALITY,
Den Aufschwung der Region…,VERTICALITY,
Wann wird es wieder bergauf gehen mit der Konjunktur?,VERTICALITY,
…der Partei den dringend nötigen Aufwind zu verschaffen.,VERTICALITY,
Wann geht das Abwärts wieder aufwärts?,VERTICALITY,
…die Hoffnung auf den Aufschwung…,VERTICALITY,
…Ostdeutschland vor dem endgültigen Niedergang zu retten.,VERTICALITY,
…einer abwärts trudelnden Union…,VERTICALITY,
Niedergang einer Partei,VERTICALITY,
…den Abstieg seines Landes aus der „Ersten Liga“ Europas…,VERTICALITY,
…zu Sündenböcken und Watschenmännern der Nation heruntergekommen.,VERTICALITY,
"Ich hoffe nur, dass ihre Zeitung nicht noch weiter nach unten rutscht…",VERTICALITY,
So tief können die Popularitätswerte des Mannes…gar nicht sinken…,VERTICALITY,
Maschinenbau rutscht immer tiefer in die Krise.,VERTICALITY,
Ansonsten geht es überall steil bergab.,VERTICALITY,
…während alle anderen im Kurs gefallen sind.,VERTICALITY,
…jede Phase des menschlichen Seins mit all ihren Höhen und Tiefen…,VERTICALITY,
„Als die Leute in den Abgrund einer sozialistischen Regierung schauten…,VERTICALITY,
…die Verflechtung von „Oberwelt und Unterwelt“.,VERTICALITY,
…Rückfall in den Fremdenhaß…,VERTICALITY,
Sinnlos treibt die Welt zum Abgrund,VERTICALITY,
…Tal der Armut.,VERTICALITY,
Soviel Überblick hat der Pfälzer auch in der Talsohle allemal.,VERTICALITY,
…aus den Niederungen des Trivialen…,VERTICALITY,
…auf dem Tiefpunkt gewesen…,VERTICALITY,
Die Stimmung ist im Keller…,VERTICALITY,
"For the wise the path of life leads upwards, in order to avoid Sheol below.",VERTICALITY,
he ranks high.,VERTICALITY,
Spinach ranks higher than lettuce in greeness.,VERTICALITY,
Eddie Murphy ranks above Bob Hope in sense of humor.,VERTICALITY,
he ranks very low.,VERTICALITY,
He’s at the bottom of the list.,VERTICALITY,
She’ll rise to the top.,VERTICALITY,
He has little upward mobility.,VERTICALITY,
He’s at the bottom of the social hierarchy.,VERTICALITY,
He has a lofty position.,VERTICALITY,
She’ll rise to the top.,VERTICALITY,
He’s at the peak of his career.,VERTICALITY,
He’s climbing the ladder.,VERTICALITY,
He has little upward mobility.,VERTICALITY,
She fell in status.,VERTICALITY,
Climbing the academic ladder.,VERTICALITY,
to fall from grace,VERTICALITY,
He ranks above me.,VERTICALITY,
They are lower class.,VERTICALITY,
Climbing the ladder in the company.,VERTICALITY,
Be nice to the people you meet on your way up. . .,VERTICALITY,
He’s the top of the heap.,VERTICALITY,
He's gone over my head to the top supervisor.,VERTICALITY,
In that community there is little opportunity for upward mobility.,VERTICALITY,
He is low on the totem pole.,VERTICALITY,
…aufstrebende Bankangestellte…,VERTICALITY,
Ulf Fink will die Treppe hoch…,VERTICALITY,
"…dem liberalen Aufsteiger des Jahres, Klaus Kinkel…",VERTICALITY,
"…zu Glanz, Ruhm und Geld aufgestiegen…",VERTICALITY,
Voß begann 1977 im ZDF ganz unten als Nachrichtenredakteur.,VERTICALITY,
… wolle er selbst einmal ganz oben Chef werden…,VERTICALITY,
…auf den nächsten Karrierestufen…,VERTICALITY,
…der FDP-Emporkömmling…,VERTICALITY,
…der kometenhafte Aufstieg des texanischen Milliardärs Ross Perot…,VERTICALITY,
…beim beruflichen Aufstieg…,VERTICALITY,
I have control over her.,VERTICALITY,
His power is on the decline.,VERTICALITY,
I have control over him.,VERTICALITY,
He is under my power.,VERTICALITY,
I’m on top of the situation.,VERTICALITY,
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany... ",VERTICALITY,
Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,VERTICALITY,
I have it all under control.,VERTICALITY,
He has a dominating/submissive personality.,VERTICALITY,
He’s in superior position.,VERTICALITY,
He’s at the height of his power.,VERTICALITY,
He’s in the high command.,VERTICALITY,
He’s in the upper echelon.,VERTICALITY,
His power rose.,VERTICALITY,
He ranks above me in strength.,VERTICALITY,
He fell from power.,VERTICALITY,
He is my social inferior.,VERTICALITY,
He is low man on the totem pole.,VERTICALITY,
I’m on top of the situation.,VERTICALITY,
Don’t worry! I’m on top of the situation.,VERTICALITY,
Today there are very few submissive women.,VERTICALITY,
Report to your superiors for duty.,VERTICALITY,
He's the low man on the totem pole.,VERTICALITY,
Napoleon's skill at the siege of Toulon while only an artillery captain under General Jacques Dugommier was to start Napoleon on the path of greatness; a rise to power that was to be incredibly rapid.,VERTICALITY,
Relax. We've got everything under control.,VERTICALITY,
The pupils submitted themselves to discipline.,VERTICALITY,
She did it under the supervision of a a senior teacher.,VERTICALITY,
Who's the underdog?,VERTICALITY,
He suffers from an inferiority complex.,VERTICALITY,
I belong to the subordinate staff.,VERTICALITY,
A major is below a colonel.,VERTICALITY,
The romans subjected most of Europe to their rule.,VERTICALITY,
They subdued their enemies to their sway.,VERTICALITY,
He spoke to her in a condescending tone.,VERTICALITY,
He even stooped to lying.,VERTICALITY,
That boosted my spirits.,VERTICALITY,
He is really down these days.,VERTICALITY,
I’m depressed.,VERTICALITY,
My spirit rose.,VERTICALITY,
You’re in high spirits.,VERTICALITY,
Thinking about her always gives me a lift.,VERTICALITY,
I'm soaring with joy.,VERTICALITY,
I’m feeling down.,VERTICALITY,
He’s really low these days.,VERTICALITY,
I fell into a depression.,VERTICALITY,
My spirit sank.,VERTICALITY,
His spirits fell.,VERTICALITY,
Cheer up!,VERTICALITY,
I’m feeling up today.,VERTICALITY,
He’s really low these days.,VERTICALITY,
We had to cheer him up.,VERTICALITY,
Lighten up!,VERTICALITY,
She lit up.,VERTICALITY,
We had to cheer him up.,VERTICALITY,
He will be elated with joy,VERTICALITY,
joy be lifted,VERTICALITY,
He brought me down with his remarks,VERTICALITY,
sinking feeling of sadness,VERTICALITY,
I'm uplifted.,VERTICALITY,
He was overjoyed.,VERTICALITY,
I was flying high.,VERTICALITY,
She was on cloud nine.,VERTICALITY,
I'm six feet off the ground.,VERTICALITY,
We were in the clouds.,VERTICALITY,
I was just soaring with happiness.,VERTICALITY,
"After the exam, I was walking on air for days.",VERTICALITY,
They were riding high.,VERTICALITY,
I wasfloating.,VERTICALITY,
deep sadness,VERTICALITY,
sadness be deep,VERTICALITY,
event deepen sadness,VERTICALITY,
sinking feeling of sadness,VERTICALITY,
Are we downhearted?,VERTICALITY,
Why is he looking so dejected?,VERTICALITY,
"In economic development, the equivalent of having a level playing field is equality of access to basic services. ",VERTICALITY,
The servers are back up after having been down for days.,VERTICALITY,
The government was toppled.,VERTICALITY,
The government fell.,VERTICALITY,
Upcoming events.,SOURCE_PATH_GOAL,
What events are up ahead?,SOURCE_PATH_GOAL,
All upcoming events are listed in the paper.,SOURCE_PATH_GOAL,
I’m afraid what’s up ahead of us?,SOURCE_PATH_GOAL,
What’s coming up this week?,SOURCE_PATH_GOAL,
What’s up?,SOURCE_PATH_GOAL,
We’re looking ahead to the future.,SOURCE_PATH_GOAL,
He has a great future in front of him.,SOURCE_PATH_GOAL,
He’s at the peak of health.,VERTICALITY,
Lazarus rose from the dead.,VERTICALITY,
He’s in top shape.,VERTICALITY,
"As to his health, he’s way up there.",VERTICALITY,
He fell ill.,VERTICALITY,
He’s sinking fast.,VERTICALITY,
He came down with the flu.,VERTICALITY,
His health is declining.,VERTICALITY,
He dropped dead.,VERTICALITY,
He fell ill.,VERTICALITY,
That was a demeaning comment.,VERTICALITY,
I won’t do that -- it’s degrading!,VERTICALITY,
He debased himself.,VERTICALITY,
... standing on the precipice of distress.,VERTICALITY,
she found not only low sexual desire but low distress about it.,VERTICALITY,
Attack Svetlana was in deep distress before the bombs exploded.,VERTICALITY,
"The tears fall constantly, but, if she was mad with grief back then, she appears to have pulled back a little from the brink.",VERTICALITY,
"Today, Bousignac, ... , feels like the whole world is again collapsing around her. ‘I don’t know if I will ever overcome this. The pain is never-ending …,’ adistressed Bousignac said.",VERTICALITY,
Get up.,VERTICALITY,
Wake up.,VERTICALITY,
I’m up already.,VERTICALITY,
He rises early in the morning.,VERTICALITY,
He fell asleep.,VERTICALITY,
He dropped off to sleep.,VERTICALITY,
He’s  under hypnoses.,VERTICALITY,
He sank into a coma.,VERTICALITY,
Wake up.,VERTICALITY,
He fell into a coma.,VERTICALITY,
"The discussion fell to the emotional level, but I raised it back up to the rational plane.",VERTICALITY,
He couldn’t rise above his emotions.,VERTICALITY,
high vs. low brow,VERTICALITY,
We put our feelings aside and had a high-level intellectual discussion of the matter.,VERTICALITY,
The discussion fell to an emotional level.,VERTICALITY,
He is high-minded.,VERTICALITY,
She has high standards.,VERTICALITY,
She is upright.,VERTICALITY,
She is an upstanding citizen.,VERTICALITY,
Be straight with me.,VERTICALITY,
He's a crooked businessman.,VERTICALITY,
God-fearing men must keep strictly to the straight and narrow.,VERTICALITY,
That was a low trick.,VERTICALITY,
Don’t be underhanded.,VERTICALITY,
I wouldn’t stoop to that.,VERTICALITY,
That would be beneath me.,VERTICALITY,
He's a snake in the grass.,VERTICALITY,
That was a low-down thing to do.,VERTICALITY,
"Upright, on the up and up, on a high moral plain, above board, high-minded, upstanding citizen, underhanded/low trick.",VERTICALITY,
That would be beneath me.,VERTICALITY,
He is a person of very high moral standards.,VERTICALITY,
That’s up in the air.,VERTICALITY,
The matter is settled.,VERTICALITY,
I’d like to raise some questions about that.,VERTICALITY,
That settles the question.,VERTICALITY,
It’s still up for grabs.,VERTICALITY,
Let’s bring it up for discussion.,VERTICALITY,
There’s a deeper issue here.,VERTICALITY,
That’s a profound problem.,VERTICALITY,
Let’s ignore all the details on the surface.,VERTICALITY,
There’s a deeper issue here.,VERTICALITY,
… a deep thinker.,VERTICALITY,
He had a probing mind.,VERTICALITY,
He’s really high.,VERTICALITY,
She’s coming down.,VERTICALITY,
His best jokes all fell flat.,VERTICALITY,
The scheme fell through.,VERTICALITY,
If you work too hard you may collapse.,VERTICALITY,
He had a nervous breakdown.,VERTICALITY,
She broke down when she heard of his death.,VERTICALITY,
Eve tempted Adam and he fell.,VERTICALITY,
Earlier their used to be fallen women.,VERTICALITY,
The government is a sinking ship.,VERTICALITY,
The government has fallen.,VERTICALITY,
She is a falling star.,VERTICALITY,
What caused the decline and fall of the Roman Empire?,VERTICALITY,
Your work falls short of my expectations.,VERTICALITY,
a high-pitched voice,VERTICALITY,
hohe und tiefe Töne,VERTICALITY,
ein tiefer Bass,VERTICALITY,
He dropped his voice.,VERTICALITY,
She screamed at the top of her voice.,VERTICALITY,
He raised his voice.,VERTICALITY,
"Apparently, I’m not the only parent who’s concerned about high stakes testing.",VERTICALITY,
"Debt, debt, debt; we're drowning in it. This morning, the Office for National Statistics published the latest estimates of public sector borrowing. Though borrowing is falling faster than anticipated, thanks to the fact that spending cuts are finally beginning to kick in, the national debt has risen to 64.2 per cent of GDP. More significantly, we now owe more than £1 trillion, or around £16,000 for every person in the country. ",VERTICALITY,
The upwardly mobile are moving into nicer neighborhoods.,VERTICALITY,
Moving up the social ladder: The bottom rung vs the top rung,VERTICALITY,
His strength declined as he aged.,VERTICALITY,
He is under my control.,VERTICALITY,
He fell from power.,VERTICALITY,
His power is on the decline.,VERTICALITY,
There’s strong bond between them.,LINK,
having connections,LINK,
breaking social ties,LINK,
the bonds of slavery,LINK,
Something is missing in that argument.,PART-WHOLE,
A unified theory.,PART-WHOLE,
His thoughts are scattered.,PART-WHOLE,
The theory is a mess/ all over the place.,PART-WHOLE,
Everything fell into place.,PART-WHOLE,
I’m missing a piece of the puzzle.,PART-WHOLE,
How/where does this fit with what you were saying before?,PART-WHOLE,
His argument lacked coherence.,PART-WHOLE,
That story just doesn’t hang together.,PART-WHOLE,
We were made for each other.,PART-WHOLE,
We are one.,PART-WHOLE,
She is my other half.,PART-WHOLE,
He is a perfect match.,PART-WHOLE,
"If ever two were one, then surely we.",PART-WHOLE,
She is my better half.,PART-WHOLE,
Five is made up of two plus three.,PART-WHOLE,
You can factor 28 into 7 times 4.,PART-WHOLE,
"If you put 2 and 2 together, you get 4.",PART-WHOLE,
"You could call me just a work-for-hire hack, and a willing, contented cog in a bureaucratic machine.",PART-WHOLE,
"Earth is part of the group of ""terrestrial"" planets. ",PART-WHOLE,
The Milky Way belongs to a cluster of galaxies.,PART-WHOLE,
Our galaxy has at least 100 billion planets.,PART-WHOLE,
The eye possesses several parts.,PART-WHOLE,
Which car part belongs to which car?,PART-WHOLE,
Der grundlegende Dissens…wäre nicht mehr zu überbrücken.,SPLITTING,
…welcher Graben diese Politiker von den Bürgern trennt…,SPLITTING,
Hier gibt es zwischen Bürger und Partei…kaum noch eine Brücke.,SPLITTING,
…nur noch die unüberbrückbare Fremdheit zwischen zwei Ausgestoßenen…,SPLITTING,
"Wie groß die Lücke ist, die zwischen der Gefahr der Katastrophe und den Rettungsmaßnahmen klafft.",SPLITTING,
…habe sich die Kluft zwischen Nord und Sud verdoppelt.,SPLITTING,
Dann vertieft sich der Graben…,SPLITTING,
…eine riesige Kluft zwischen der Auffassung der Mehrheit der SPD-Funktionäre und der Bevö1kerung…Diese Lücke müsse bald geschlossen werden.,SPLITTING,
Die tiefe Kluft zwischen Nord und Süd…,SPLITTING,
Americans are divided as to whether a third major party is needed in U.S. politics today,SPLITTING,
What separates the men from the boys?,SPLITTING,
"The story is not primarily about salvation, but about severe judgement, and it ends in tragedy, in hopes dashed most cruelly to smithereens.",SPLITTING,
"As the credibility of the DLV lay in shreds, the greater consequences for world sport were being considered by, among others, Norbert Laurens, the lawyer for the DLV.",SPLITTING,
Dartford's hopes also crumbled rapidly when Exeter scored three times in an eight-minute spell in the second half.,SPLITTING,
Mrs Margaret Thatcher has struck three notes since the Communist world began to disintegrate.,SPLITTING,
"Sometimes truth may be suppressed for a long time but while it is imprisoned it gathers to itself more and more power so that on the day that it is finally released it explodes, blowing everything asunder.",SPLITTING,
"She felt as though she was dying, as though her heart was being ripped piece by piece into shreds, but she had to go on and finish the programme.",SPLITTING,
"My mother, I'm afraid, went quite to pieces after his death.",SPLITTING,
" The hallways are filled with the sounds of middle school students, primarily eighth graders, dissecting the second presidential debate from the evening before. ",SPLITTING,
That’s a big discovery.,SCALE,
Let’s look at the larger issues.,SCALE,
That’s a monumental discovery.,SCALE,
Mr. Big,SCALE,
The big cheese,SCALE,
He’ll never amount to anything.,SCALE,
Tomorrow is a big day.,SCALE,
Maslow is a towering figure in humanistic psychology.,SCALE,
He stands head and shoulders above them.,SCALE,
That's a bigwig.,SCALE,
He has to be cut down to size (i.e. reduced to his real importance.,SCALE,
A big part of this mission was not to contaminate the planet with Earth organisms.,SCALE,
Texaco is a relatively small player in the California gasoline market but a bigger factor in the Eastern states that want to follow California's lead.,SCALE,
He’s short of money.,SCALE,
He’s long on good looks.,SCALE,
He’s short on intelligence.,SCALE,
Which of the two classes is bigger?,SCALE,
He only has a little money.,SCALE,
I’m not a big eater.,SCALE,
This class is bigger than that one.,SCALE,
He’s a bigger eater than she is.,SCALE,
I have a smaller amount of money than he does.,SCALE,
He is trying to pay off his huge debt.,SCALE,
The city is expanding the number of recycling containers in parks.,SCALE,
She has very little money.,SCALE,
The number of available parking spaces continues to shrink.,SCALE,
What is the size of your bank account?,SCALE,
He doesn't know how big our national debt is.,SCALE,
Do you have anything smaller than a twenty?,SCALE,
Can you break a twenty?,SCALE,
I only have small change.,SCALE,
We don’t accept any bill larger than a twenty.,SCALE,
He’s a big man in the garment industry.,SCALE,
He’s a giant among writers.,SCALE,
That’s the biggest idea to hit advertising in years.,SCALE,
He’s head and shoulders above everyone in the industry.,SCALE,
It was only a small crime.,SCALE,
That was only a little white lie.,SCALE,
I was astounded at the enormity of the crime.,SCALE,
That was one of the greatest moments in World Series history.,SCALE,
His accomplishments tower over those of lesser men.,SCALE,
…Grundstückspreise auf ihrem Höchststand…,SCALE,
…Einnahmen in Höhe von 282 Millionen Mark…,SCALE,
…der Aufbau großer Vermögenswerte…,SCALE,
Wie kommt man zum großen Geld?,SCALE,
…große Zufriedenheit auslöst.,SCALE,
Der Zorn der Rabbiner war groß.,SCALE,
…die große Hoffnung…,SCALE,
Sein großer Wunsch…,SCALE,
Zu groß sei immer noch…die Skepsis…,SCALE,
…großen Eindruck gemacht…,SCALE,
Travelling will widen your horizon.,SCALE,
They are broad-minded people.,SCALE,
He expanded his interests to include music.,SCALE,
You can do it by stretching imagination.,SCALE,
They are narrow-minded people.,SCALE,
His interests are very narrow.,SCALE,
WE CANNOT HAVE ISLANDS OF PROSPERITY NEXT TO OCEANS OF POVERTY AND SQUALOR,SCALE,
We need to know how big of a problem that is.,SCALE,
Here are some tips to grow your business.,SCALE,
Out of these discussions will grow legislation of farreaching importance.,SCALE,
Credit card debt has been growing significantly,SCALE,
Government transparency enables the public to hold the government accountable for how they spend their money.,COVERING,
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,COVERING,
His judgement is clouded.,COVERING,
The US is blind to the limits of Palestinian politics.,COVERING,
The issue was exposed to the light of day.,COVERING,
The government covered up the high levels of radiation.,COVERING,
Ecologists Shed New Light On Effects of Light Pollution On Wildlife,COVERING,
Our conservation program needs your support.,SUPPORT,
I've really been leaning on my friends the past few months.,SUPPORT,
The poor in our country need a boost up.,SUPPORT,
"In times of need, the impoverished should be able to lean on our government for support. ",SUPPORT,
We need welfare as a safety net.,SUPPORT,
Our work in the African continent [. . .] is supported by Tear Fund,SUPPORT,
Our conservation program needs your support.,SUPPORT,
I've really been leaning on my friends the past few months.,SUPPORT,
"Aug 25, 2010 – And so, two of the main pillars of our democracy—a free press and the courts—will be assailed at the same time. ",SUPPORT,
